lessons_completed,words_learned
54.495525,511.5117
21.78316,227.97414
65.79367,627.00586
92.78243,811.42786
68.148415,593.06134
72.40996,626.97626
27.357588,264.30988
5.7074203,97.60381
34.638683,351.6832
54.018005,479.42596
94.702354,846.11523
62.417755,578.4172
43.792294,455.53262
40.56442,416.24243
43.41781,456.84244
26.957865,264.5702
32.61408,326.38406
61.324497,565.79346
84.667564,754.88184
92.844925,830.1659
70.79213,649.27985
19.678837,225.37746
96.411514,863.9898
98.36643,867.16797
38.384197,376.98898
54.13769,543.9124
95.496895,870.49115
35.796642,358.4408
75.018196,674.6692
60.40072,568.95654
78.97774,721.7172
69.049644,637.7348
99.62644,890.64996
92.75611,870.9852
20.088985,224.68272
81.08516,721.75574
43.10215,438.01343
27.646667,290.2065
60.46693,554.9347
46.034653,442.75598
21.545591,235.35889
10.572725,159.83522
26.02772,282.27597
57.39042,511.05344
81.4481,719.9944
80.489914,751.4017
65.167076,632.9805
97.55981,886.8288
11.817126,161.71169
22.602215,245.55751
72.946815,663.0124
9.234668,114.40749
97.29825,896.0774
59.049282,554.2641
34.993896,356.48532
94.88384,874.65533
74.64664,672.35144
92.44805,830.5172
88.28541,800.22015
44.2331,430.97003
95.619736,825.2584
58.772907,529.7835
57.099506,526.7646
69.00524,614.6441
15.313384,178.83536
24.098639,243.24721
97.446884,863.24097
21.415604,233.98161
78.16597,749.217
81.207535,708.04706
13.937116,148.6112
47.05614,444.8272
51.99176,505.99103
87.73991,827.7627
39.501667,399.29785
95.402016,913.33984
12.641974,119.13492
72.34367,655.1778
78.4351,736.96515
35.388313,382.06503
36.879005,366.91776
22.245129,251.60226
65.102,624.5829
68.41791,640.3727
35.804287,344.5894
90.9132,827.19495
45.221794,435.89676
45.098747,440.3507
89.59848,815.2621
60.822617,553.2553
77.92726,740.88306
80.49789,760.9963
21.40809,201.55855
51.898354,462.68274
94.44999,876.39136
23.128153,230.77847
58.72108,548.2891
87.784294,816.86975
57.744637,521.84
41.849243,388.9083
69.67673,634.9765
13.210489,170.00996
91.52553,822.45215
89.81431,792.8354
39.198444,386.92313
35.316517,347.7856
43.208687,431.8827
99.761185,909.0063
34.266632,333.64456
66.72354,612.6671
7.403865,144.61963
66.85774,617.9647
81.28053,729.6054
67.874794,615.4158
50.242912,465.66656
55.96644,542.7448
93.63394,863.1965
73.14257,665.0584
41.523987,376.65823
14.347694,169.38972
87.11847,794.7286
34.815475,349.26184
82.11522,736.8218
42.953598,419.73462
53.288364,484.02795
15.03982,181.91382
34.40426,339.096
56.419186,498.11002
6.5959816,108.15732
42.72496,415.62793
80.099846,735.2231
85.88516,782.52954
87.48814,796.5746
38.01427,382.1756
56.239063,524.6521
14.383532,159.91014
77.10556,728.8468
60.910168,556.1301
92.25876,827.49475
45.110527,432.1229
97.928665,887.8874
76.03313,708.2847
93.03706,834.33844
49.408714,480.74948
15.230242,186.27042
15.248215,182.89874
7.7127795,122.40928
60.395233,555.3375
15.768491,177.86957
36.983692,366.69302
76.63687,713.402
95.68173,864.63556
40.586887,364.9108
85.38668,772.9296
48.900623,427.64417
42.994495,412.21686
46.878696,451.4616
30.961987,329.33624
65.5006,604.97675
52.242874,503.5591
29.356424,303.63324
82.71277,719.0192
31.279922,324.0421
20.32927,194.45494
68.9894,649.4625
49.58318,465.37332
26.351768,280.47314
13.724259,139.83826
38.2685,371.85062
16.13083,188.60808
78.33506,701.34344
46.583427,442.78616
76.965225,707.7497
75.62139,661.89557
56.32596,534.2237
45.186554,431.42932
28.002106,292.8338
63.193684,589.9136
11.1965,134.53778
29.353678,311.70316
90.37962,819.32294
43.280384,426.21994
90.81935,825.38684
80.62826,741.418
42.486725,411.17227
14.267576,182.63315
90.64691,829.527
56.501495,526.33673
97.3893,879.28326
9.540422,138.90077
62.288464,581.7145
11.574479,147.13513
46.732933,436.79703
10.865672,128.6912
9.266616,117.84516
54.896214,515.348
99.32917,902.7492
56.139603,489.42184
48.099285,482.14246
96.77671,867.72894
56.848053,545.41156
25.977629,266.45447
82.704636,729.53156
86.39356,794.4142
93.68718,834.7236
89.854904,811.9098
96.654305,882.11456
34.88308,341.04965
59.329945,554.8141
35.16711,332.17673
46.177288,442.6455
90.054054,802.3117
14.96879,191.97073
78.45705,712.0382
25.055319,261.57996
52.760483,487.15463
46.84456,450.7023
31.104681,306.3875
56.550564,529.1126
28.43848,286.61584
95.52288,862.79913
35.3044,350.13553
82.565,765.87
41.1856,385.9573
15.10183,171.73322
89.37335,801.02826
39.384098,369.80362
32.82228,324.65567
56.061047,518.016
52.01606,495.1986
65.90361,596.6235
40.97519,396.76273
38.795334,381.44366
78.4889,717.92206
74.27144,672.7409
94.484924,827.0464
57.74217,529.27295
40.169186,374.72238
42.380363,419.48642
42.820324,421.0078
37.48871,402.2049
36.28909,360.35413
39.116745,401.56412
66.82503,646.6055
71.294495,631.72845
88.65347,828.0058
6.276263,100.04801
89.33453,808.8301
42.930096,421.04773
6.083718,133.75195
83.5529,742.7999
25.569565,258.34033
31.095213,309.26367
68.26462,656.3897
60.28061,597.29614
84.879456,764.85004
19.35652,239.61531
78.30499,733.1461
77.25819,699.29047
81.90158,705.5889
36.69,365.67368
60.56707,576.9874
66.48139,606.8763
97.2866,865.4183
23.63549,280.7186
8.885952,115.49757
9.541023,136.5447
58.791023,551.4596
16.399332,224.67113
43.706947,421.94467
30.295387,300.4383
61.104607,593.1423
18.840654,219.96405
81.79214,752.97284
5.8365974,118.910995
26.476643,266.9827
62.30164,583.78876
5.779639,89.46559
64.20787,591.7107
34.72949,332.32162
28.51002,295.14035
86.54942,754.5283
37.16255,360.24924
63.72887,579.86676
34.158936,344.11212
74.72067,676.5727
95.75664,863.1222
98.09704,872.86456
23.767279,236.5019
5.282986,101.980255
19.284187,209.16682
65.88107,591.2995
71.5689,662.057
77.447655,719.2725
73.12653,706.509
98.708984,873.0959
16.47958,181.9979
15.260938,180.48706
37.625305,361.7822
89.36805,815.0685
